vegetable,month,segment,value,unit,status
leek,JAN,1,1.99,lb,peak
leek,JAN,2,1.99,lb,peak
leek,JAN,3,1.99,lb,peak
leek,FEB,1,1.99,lb,peak
leek,FEB,2,1.99,lb,peak
leek,FEB,3,1.99,lb,peak
leek,MAR,1,1.99,lb,peak
leek,MAR,2,1.99,lb,peak
leek,MAR,3,1.99,lb,peak
leek,APR,1,1.99,lb,peak
leek,APR,2,1.99,lb,peak
leek,APR,3,1.99,lb,peak
leek,MAY,1,1.99,lb,peak
leek,MAY,2,1.99,lb,peak
leek,MAY,3,1.99,lb,peak
leek,JUN,1,1.99,lb,late
leek,JUN,2,1.99,lb,late
leek,JUN,3,1.99,lb,late
leek,JUL,1,1.99,lb,late
leek,JUL,2,0,,none
leek,AUG,1,0,,none
leek,AUG,2,0,,none
leek,AUG,3,0,,none
leek,SEP,1,0,,none
leek,SEP,2,0,,none
leek,SEP,3,0,,none
leek,OCT,1,1.99,lb,early
leek,OCT,2,1.99,lb,early
leek,OCT,3,1.99,lb,early
leek,NOV,1,1.99,lb,peak
leek,NOV,2,1.99,lb,peak
leek,NOV,3,1.99,lb,peak
leek,DEC,1,1.99,lb,peak
leek,DEC,2,1.99,lb,peak
leek,DEC,3,1.99,lb,peak
